Atributo_1,Atributo_2,Atributo_3,Atributo_4,Atributo_5,Atributo_6,Atributo_7,Atributo_8,Atributo_9,Atributo_10,Atributo_11,Atributo_12,Atributo_13,Atributo_14,Atributo_15,Atributo_16,Atributo_17,Atributo_18,Atributo_19,Atributo_20,Atributo_21,Atributo_22,Atributo_23,Atributo_24,Atributo_25,Atributo_26,Atributo_27,Atributo_28,Atributo_29,Atributo_30,Atributo_31,Atributo_32,Atributo_33,Atributo_34,class
3.43,2.68,2.86,2.4,2.65,5.12,2.35,4.59,-2.32,1.74,0.08,4.88,-1.53,1.99,1.61,1.03,0.82,0.79,0.91,0.02,1.47,3.23,3.47,3.61,3.58,3.19,3.8,3.93,3.62,3.46,3.52,3.24,3.43,2.74,clase1
4.38,3.66,2.82,2.35,2.77,3.69,2.87,3.89,-2.0,1.91,1.33,4.76,-0.39,2.7,1.82,1.35,1.46,-0.6,0.89,1.04,0.99,3.94,3.94,3.76,3.55,3.39,3.83,3.27,3.95,3.38,3.44,3.7,3.22,2.5,clase1
4.48,3.55,2.8,1.79,2.6,3.24,3.39,2.93,-2.0,2.31,2.85,4.55,-0.23,3.12,2.54,1.8,1.38,0.42,1.29,0.6,1.97,2.95,3.5,3.07,3.58,3.99,3.32,3.19,3.29,3.48,3.08,3.07,3.13,3.45,clase1
3.74,4.06,2.95,1.53,2.23,3.37,3.39,3.64,-2.0,2.53,2.29,4.44,-0.29,3.69,4.05,2.39,0.3,0.69,2.39,2.29,2.39,3.79,3.81,2.35,3.4,3.25,3.08,2.61,3.86,3.31,3.46,3.09,3.09,4.62,clase1
4.42,3.01,2.69,2.37,2.85,3.33,3.08,3.89,-2.0,2.0,2.3,5.67,0.81,2.46,2.64,1.5,1.22,0.12,1.44,1.56,1.22,3.19,3.42,3.54,4.03,3.42,3.84,3.87,3.44,3.8,3.47,3.48,3.48,2.87,clase1
3.18,3.85,2.78,2.46,2.84,4.36,2.42,4.0,-2.0,2.09,2.15,4.73,-0.84,2.38,1.29,1.12,0.92,0.42,0.35,0.74,0.48,3.92,3.51,3.62,3.41,3.76,3.34,3.51,3.58,3.74,3.6,3.95,3.77,2.09,clase1
4.49,4.18,2.84,2.29,2.86,3.29,3.02,3.87,-2.0,2.0,3.11,5.99,0.48,2.41,1.6,1.29,1.34,0.96,1.6,0.74,0.64,3.21,3.45,2.93,3.5,3.19,3.54,3.46,3.61,3.95,3.68,3.25,3.33,3.29,clase1
3.78,3.05,2.79,2.35,2.81,3.73,3.06,3.38,-2.0,2.34,1.44,4.44,-0.14,2.2,2.14,1.4,0.3,0.04,1.33,1.15,0.71,4.02,3.72,3.38,3.27,4.16,3.92,3.51,3.38,3.83,2.97,3.11,3.38,2.65,clase1
3.85,2.36,2.78,2.48,2.75,4.03,2.62,3.97,-2.0,2.14,1.65,5.11,0.51,2.22,1.79,1.12,0.76,0.29,1.29,0.11,0.82,3.81,4.09,3.61,3.72,3.22,3.48,3.75,3.84,3.61,3.08,4.15,2.92,2.32,clase1
3.7,3.83,2.86,2.36,2.8,4.5,2.74,3.76,-2.0,2.12,2.02,4.88,-0.68,1.48,0.57,1.08,0.4,-0.24,0.49,0.14,1.27,3.41,3.08,3.23,3.92,3.95,3.39,4.46,3.44,3.71,3.01,3.7,3.1,2.08,clase1
